Player,BODY FAT,HEIGHT_NO_SHOES,STANDING_REACH,WEIGHT,WINGSPAN,Year
Dwight Powell,6.20%,81.5,8' 9'',234.4,84.5,2014
Julius Randle,9.40%,79.75,8' 9.5'',249.7,84.0,2014
Glenn Robinson,SF,120.0,6.75'' 8',4.5'',2542.8,2014
LaQuinton Ross,16.30%,78.5,8' 10'',238.7,85.75,2014
Marcus Smart,10.55%,74.0,8' 3'',227.2,81.25,2014
Russ Smith,3.50%,71.5,7' 11'',160.0,75.5,2014
Nik Stauskas,12.05%,77.25,8' 6'',206.9,79.75,2014
Jarnell Stokes,8.20%,79.0,8' 7.5'',262.8,85.25,2014
Xavier Thames,6.40%,74.25,8' 0'',187.0,76.0,2014
Noah Vonleh,7.30%,80.0,9' 0'',247.1,88.25,2014
T.J. Warren,7.95%,79.0,8' 8'',220.2,82.25,2014
C.J. Wilcox,6.50%,75.5,8' 4.5'',201.0,81.75,2014
Kendall Williams,7.20%,74.25,8' 3'',183.0,77.5,2014
James Young,5.10%,77.25,8' 8'',213.3,84.0,2014
Patric Young,5.45%,80.5,8' 7.5'',246.8,85.75,2014
Cliff Alexander,5.80%,79.25,9' 1.5'',239.2,87.5,2015
Justin Anderson,5.00%,77.25,8' 5'',230.6,83.75,2015
Brandon Ashley,8.80%,79.25,8' 9'',228.0,87.75,2015
Ryan Boatright,6.60%,70.0,7' 8.5'',169.6,72.5,2015
Devin Booker,8.30%,76.5,8' 6.5'',205.8,80.25,2015
Anthony Brown,6.10%,77.75,8' 8.5'',211.0,83.0,2015
Willie Cauley-Stein,6.30%,83.25,9' 3'',242.4,87.0,2015
Rakeem Christmas,9.60%,80.25,9' 2.5'',242.6,89.25,2015
Pat Connaughton,10.20%,76.0,8' 0'',215.0,80.0,2015
Quinn Cook,6.70%,72.25,8' 0.5'',179.0,76.0,2015
Branden Dawson,5.80%,77.5,8' 9'',230.2,83.0,2015
Sam Dekker,7.50%,79.75,8' 10'',218.6,83.5,2015
Michael Frazier,SG,117.0,4.25'' 8',5.5'',2398.8,2015
Treveon Graham,5.50%,76.0,8' 7'',219.4,82.5,2015
Jerian Grant,5.60%,75.25,8' 4'',198.0,79.5,2015
Olivier Hanlan,4.30%,75.25,8' 4'',185.8,78.0,2015
Montrezl Harrell,11.90%,79.0,9' 1'',253.4,88.25,2015
Aaron Harrison,6.00%,76.5,8' 4.5'',209.2,80.25,2015
Andrew Harrison,5.90%,76.5,8' 4'',213.2,81.0,2015
Tyler Harvey,9.20%,74.75,8' 2.5'',181.4,77.5,2015
Corey Hawkins,5.50%,72.75,8' 3.5'',191.8,80.0,2015
Rondae Hollis-Jefferson,5.00%,77.5,8' 8'',210.8,86.0,2015
Jonathan Holmes,7.20%,80.25,8' 11.5'',242.2,83.5,2015
Richaun Holmes,8.80%,80.25,9' 0'',242.8,85.5,2015
R.J. Hunter,6.00%,76.5,8' 8'',185.0,82.5,2015
Vince Hunter,4.60%,78.75,8' 8.5'',208.4,83.0,2015
Dakari Johnson,14.90%,83.0,9' 4'',264.6,86.0,2015
Stanley Johnson,7.50%,77.0,8' 6'',241.8,83.5,2015
Tyus Jones,6.50%,72.5,8' 1'',184.6,77.0,2015
Frank Kaminsky,9.40%,83.75,9' 1.5'',231.2,83.0,2015
Kevon Looney,11.90%,80.0,9' 2'',222.4,87.5,2015
Trey Lyles,12.10%,81.0,9' 0'',241.2,85.5,2015
Jarell Martin,10.10%,80.0,8' 10.5'',238.6,81.0,2015
TJ McConnell,7.30%,72.5,8' 0.5'',187.8,74.0,2015
Chris McCullough,6.20%,80.25,9' 1'',199.0,87.25,2015
Jordan Mickey,7.20%,79.0,8' 10'',238.0,87.25,2015
Larry Nance,6.40%,79.5,9' 0'',226.6,85.5,2015
Kelly Oubre,5.70%,77.75,8' 6.5'',202.8,86.25,2015
Cameron Payne,6.30%,72.75,8' 1.5'',182.8,79.25,2015
Terran Petteway,4.90%,76.75,8' 8.5'',209.2,83.25,2015
Bobby Portis,8.90%,81.5,9' 0.5'',246.2,86.0,2015
Norman Powell,6.40%,75.0,8' 6.5'',215.4,82.75,2015
Michael Qualls,4.00%,76.0,8' 8.5'',201.4,84.25,2015
Chasson Randle,4.50%,72.25,8' 0.5'',178.8,79.0,2015
